Timestamp,Layer,Event,Identifier,Size(Bytes),Details
2026-03-07 21:38:26.022,API,JobCreated,Job 00015,95,"Printed"
2026-03-07 21:38:26.023,API,JobCreated,Job 00016,95,"Printed"
2026-03-07 21:38:26.023,API,JobCreated,Job 00017,95,"Printed"
2026-03-07 21:38:26.024,API,JobCreated,Job 00018,95,"Printed"
2026-03-07 21:38:26.024,API,JobCreated,Job 00019,95,"Printed"
2026-03-07 21:38:26.025,API,JobCreated,Job 00020,194,"Printed"
2026-03-07 21:38:26.025,API,JobCreated,Job 00021,194,"Printed"
2026-03-07 21:38:26.026,API,JobCreated,Job 00022,194,"Printed"
2026-03-07 21:38:26.026,API,JobCreated,Job 00023,194,"Printed"
2026-03-07 21:38:26.026,API,JobCreated,Job 00024,194,"Printed"
2026-03-07 21:38:26.027,API,JobCreated,Job 00025,194,"Printed"
2026-03-07 21:39:23.920,API,JobCreated,Job 00026,0,"Spooling"
2026-03-07 21:39:23.924,FS,FileCreated,00026.SPL,0,"Observed in spool dir"
2026-03-07 21:39:23.927,FS,FileCopySuccess,00026.SPL,0,"Copied to 213923_925_00026.SPL"
2026-03-07 21:39:23.928,FS,FileCreated,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.929,FS,FileChanged,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.930,FS,FileDeleted,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.931,FS,FileCreated,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.931,FS,FileChanged,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.932,FS,FileChanged,00026.SPL,194,"Observed in spool dir"
2026-03-07 21:39:23.934,FS,FileCopySuccess,00026.SPL,194,"Copied to 213923_933_00026.SPL"
2026-03-07 21:39:23.935,FS,FileDeleted,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.935,FS,FileCreated,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.936,FS,FileChanged,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.956,FS,FileDeleted,00026.SHD,0,"Observed in spool dir"
2026-03-07 21:39:23.957,FS,FileCreated,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.958,FS,FileChanged,00026.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:23.980,API,StatusChanged,Job 00026,194,"Printed"
2026-03-07 21:39:25.981,FS,FileCreated,00027.SPL,0,"Observed in spool dir"
2026-03-07 21:39:25.983,FS,FileCopySuccess,00027.SPL,0,"Copied to 213925_982_00027.SPL"
2026-03-07 21:39:25.984,FS,FileCreated,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.984,FS,FileChanged,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.985,FS,FileDeleted,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.986,FS,FileCreated,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.986,FS,FileChanged,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.988,FS,FileChanged,00027.SPL,194,"Observed in spool dir"
2026-03-07 21:39:25.990,FS,FileCopySuccess,00027.SPL,194,"Copied to 213925_989_00027.SPL"
2026-03-07 21:39:25.991,FS,FileDeleted,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.992,FS,FileCreated,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:25.993,FS,FileChanged,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:26.013,FS,FileDeleted,00027.SHD,0,"Observed in spool dir"
2026-03-07 21:39:26.014,FS,FileCreated,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:26.014,FS,FileChanged,00027.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:26.016,API,JobCreated,Job 00027,194,"Printed"
2026-03-07 21:39:27.715,FS,FileCreated,00028.SPL,0,"Observed in spool dir"
2026-03-07 21:39:27.716,FS,FileCopySuccess,00028.SPL,0,"Copied to 213927_715_00028.SPL"
2026-03-07 21:39:27.717,FS,FileCreated,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.718,FS,FileChanged,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.718,FS,FileDeleted,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.719,FS,FileCreated,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.720,FS,FileChanged,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.721,FS,FileChanged,00028.SPL,194,"Observed in spool dir"
2026-03-07 21:39:27.723,FS,FileCopySuccess,00028.SPL,194,"Copied to 213927_722_00028.SPL"
2026-03-07 21:39:27.724,FS,FileDeleted,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.724,FS,FileCreated,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.725,FS,FileChanged,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.747,FS,FileDeleted,00028.SHD,0,"Observed in spool dir"
2026-03-07 21:39:27.748,FS,FileCreated,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.748,FS,FileChanged,00028.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:27.750,API,JobCreated,Job 00028,194,"Printed"
2026-03-07 21:39:29.318,API,JobCreated,Job 00029,0,"Spooling"
2026-03-07 21:39:29.319,FS,FileCreated,00029.SPL,0,"Observed in spool dir"
2026-03-07 21:39:29.321,FS,FileCopySuccess,00029.SPL,0,"Copied to 213929_320_00029.SPL"
2026-03-07 21:39:29.322,FS,FileCreated,00029.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:29.322,FS,FileChanged,00029.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:29.323,FS,FileDeleted,00029.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:29.325,FS,FileCreated,00029.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:29.326,FS,FileChanged,00029.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:29.327,FS,FileChanged,00029.SPL,194,"Observed in spool dir"
2026-03-07 21:39:29.328,FS,FileCopySuccess,00029.SPL,194,"Copied to 213929_327_00029.SPL"
2026-03-07 21:39:29.329,FS,FileDeleted,00029.SHD,2096,"Observed in spool dir"
2026-03-07 21:39:29.330,FS,FileCreated,00029.SHD,2096,"Observed in spool dir"
