Timestamp,Layer,Event,Identifier,Size(Bytes),Details
2026-03-07 21:42:56.118,FS,FileCreated,00037.SHD,0,"Observed in spool dir"
2026-03-07 21:42:56.118,FS,FileChanged,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.119,FS,FileDeleted,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.120,FS,FileCreated,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.120,FS,FileChanged,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.134,FS,FileChanged,00037.SPL,5490,"Observed in spool dir"
2026-03-07 21:42:56.136,FS,FileCopySuccess,00037.SPL,5490,"Copied to 214256_135_00037.SPL"
2026-03-07 21:42:56.137,FS,FileDeleted,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.138,FS,FileCreated,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.138,FS,FileChanged,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.148,API,JobCreated,Job 00037,5490,"Printing, Retained"
2026-03-07 21:42:56.165,FS,FileDeleted,00037.SHD,0,"Observed in spool dir"
2026-03-07 21:42:56.166,FS,FileCreated,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.166,FS,FileChanged,00037.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:56.204,API,StatusChanged,Job 00037,5490,"Printed"
2026-03-07 21:42:57.831,FS,FileCreated,00038.SPL,0,"Observed in spool dir"
2026-03-07 21:42:57.833,FS,FileCopySuccess,00038.SPL,0,"Copied to 214257_832_00038.SPL"
2026-03-07 21:42:57.834,FS,FileCreated,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.835,FS,FileChanged,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.835,FS,FileDeleted,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.836,FS,FileCreated,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.837,FS,FileChanged,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.841,API,JobCreated,Job 00038,0,"Spooling"
2026-03-07 21:42:57.849,FS,FileChanged,00038.SPL,5490,"Observed in spool dir"
2026-03-07 21:42:57.851,FS,FileCopySuccess,00038.SPL,5490,"Copied to 214257_850_00038.SPL"
2026-03-07 21:42:57.851,FS,FileDeleted,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.852,FS,FileCreated,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.853,FS,FileChanged,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.873,FS,FileDeleted,00038.SHD,0,"Observed in spool dir"
2026-03-07 21:42:57.874,FS,FileCreated,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.874,FS,FileChanged,00038.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:57.899,API,StatusChanged,Job 00038,5490,"Printed"
2026-03-07 21:42:59.462,FS,FileCreated,00039.SPL,0,"Observed in spool dir"
2026-03-07 21:42:59.463,FS,FileCopySuccess,00039.SPL,0,"Copied to 214259_462_00039.SPL"
2026-03-07 21:42:59.464,FS,FileCreated,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.465,FS,FileChanged,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.466,FS,FileDeleted,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.466,FS,FileCreated,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.467,FS,FileChanged,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.468,FS,FileChanged,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.471,API,JobCreated,Job 00039,0,"Spooling"
2026-03-07 21:42:59.483,FS,FileChanged,00039.SPL,5490,"Observed in spool dir"
2026-03-07 21:42:59.484,FS,FileCopySuccess,00039.SPL,5490,"Copied to 214259_484_00039.SPL"
2026-03-07 21:42:59.485,FS,FileDeleted,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.486,FS,FileCreated,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.487,FS,FileChanged,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.506,FS,FileDeleted,00039.SHD,0,"Observed in spool dir"
2026-03-07 21:42:59.507,FS,FileCreated,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.508,FS,FileChanged,00039.SHD,2152,"Observed in spool dir"
2026-03-07 21:42:59.529,API,StatusChanged,Job 00039,5490,"Printed"
2026-03-07 21:43:01.128,FS,FileCreated,00040.SPL,0,"Observed in spool dir"
2026-03-07 21:43:01.130,FS,FileCopySuccess,00040.SPL,0,"Copied to 214301_129_00040.SPL"
2026-03-07 21:43:01.131,FS,FileCreated,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.131,FS,FileChanged,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.132,FS,FileDeleted,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.132,FS,FileCreated,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.133,FS,FileChanged,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.148,FS,FileChanged,00040.SPL,5490,"Observed in spool dir"
2026-03-07 21:43:01.149,FS,FileCopySuccess,00040.SPL,5490,"Copied to 214301_149_00040.SPL"
2026-03-07 21:43:01.150,FS,FileDeleted,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.151,FS,FileCreated,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.152,FS,FileChanged,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.165,API,JobCreated,Job 00040,5490,"Printing, Retained"
2026-03-07 21:43:01.172,FS,FileDeleted,00040.SHD,0,"Observed in spool dir"
2026-03-07 21:43:01.173,FS,FileCreated,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.174,FS,FileChanged,00040.SHD,2152,"Observed in spool dir"
2026-03-07 21:43:01.227,API,StatusChanged,Job 00040,5490,"Printed"
2026-03-07 22:14:50.870,API,JobCreated,Job 00002,81564,"Printing, Retained"
2026-03-07 22:15:07.629,FS,FileCreated,00003.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:07.666,FS,FileChanged,00003.SPL,272004,"Triggered safe read attempt"
2026-03-07 22:15:07.668,FS,ReadSuccess,00003.SPL,272004,"Saved to 221507_666_00003.SPL"
2026-03-07 22:15:07.799,API,JobCreated,Job 00003,272004,"None"
2026-03-07 22:15:10.169,FS,FileCreated,00041.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:10.200,FS,FileChanged,00041.SPL,272004,"Triggered safe read attempt"
2026-03-07 22:15:10.202,FS,ReadSuccess,00041.SPL,272004,"Saved to 221510_201_00041.SPL"
2026-03-07 22:15:10.317,API,JobCreated,Job 00041,272004,"None"
2026-03-07 22:15:12.085,FS,FileCreated,00042.SPL,0,"Triggered safe read attempt"
2026-03-07 22:15:12.117,FS,FileChanged,00042.SPL,272004,"Triggered safe read attempt"
2026-03-07 22:15:12.123,FS,ReadSuccess,00042.SPL,272004,"Saved to 221512_118_00042.SPL"
